org,dashboard,dashboard_uid,folder_title,folder_id,folder_url,item_source,panel_id,item_id,item_name,url,includeVariables,issue
VF Petroleum,Benchmark,ceoo84cmemm80d,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/heath-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Benchmark,ceoo84cmemm80d,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Benchmark,ceoo84cmemm80d,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Daily ESP Status,s6-EeN-Vz,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Daily ESP Status,s6-EeN-Vz,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Daily ESP Status,s6-EeN-Vz,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Daily ESP Status,s6-EeN-Vz,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Executive,ceoo8jfyjiq68c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/24-hour-status-summary?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Executive,ceoo8jfyjiq68c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Executive,ceoo8jfyjiq68c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/heath-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Executive,ceoo8jfyjiq68c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Executive,ceoo8jfyjiq68c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Health Check,DwPYb484z,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Health Check,DwPYb484z,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time-quick-view?refresh=5m&${Businessunit:queryparam}&${District:queryparam}&${County:queryparam}&${Area:queryparam}&${Lease:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Health Check,DwPYb484z,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Health Check,DwPYb484z,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Health Check,c537d751-d3fa-4713-952b-b7c0955aaf3d,Gas Lift,3290,/dashboards/f/devonsqimt5ogd/gas-lift,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
VF Petroleum,Production History,c73c6405-8fe2-4bfd-b4d8-47657d88e7cd,Gas Lift,3290,/dashboards/f/devonsqimt5ogd/gas-lift,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/24-hour-status-summary?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/heath-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Trends,ldr9mfv4kn,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Trends,ldr9mfv4kn,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Trends,ldr9mfv4kn,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Trends,ldr9mfv4kn,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Trends,ldr9mfv4kn,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Reports,ca401882-9c38-49ad-8f0c-f4e8fcf05451,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Setpoints,f11e0c99-1940-4df7-8e40-7377f0ed262c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Setpoints,f11e0c99-1940-4df7-8e40-7377f0ed262c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Setpoints,f11e0c99-1940-4df7-8e40-7377f0ed262c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Setpoints,f11e0c99-1940-4df7-8e40-7377f0ed262c,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Shutdowns and Faults,deooaj4y1k54wb,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/24-hour-status-summary?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Shutdowns and Faults,deooaj4y1k54wb,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Shutdowns and Faults,deooaj4y1k54wb,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/heath-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Shutdowns and Faults,deooaj4y1k54wb,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Shutdowns and Faults,deooaj4y1k54wb,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
